id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
36,TRD-000036,33,9,FIXED_INCOME,BUY,577140,113.8234,2026-04-28,SETTLED
37,TRD-000037,5,10,EQUITY,BUY,1936,375.32,2026-05-19,PENDING
38,TRD-000038,3,10,EQUITY,BUY,3444,598.49,2026-06-09,SETTLED
39,TRD-000039,43,6,FX,BUY,567034,59.8512,2026-06-15,CONFIRMED
40,TRD-000040,49,2,DERIVATIVE,BUY,118,3124.74,2026-04-03,PENDING
41,TRD-000041,14,9,FX,SELL,287781,140.0423,2026-04-08,CONFIRMED
42,TRD-000042,19,3,EQUITY,SELL,4460,639.12,2026-04-22,PENDING
43,TRD-000043,20,2,EQUITY,BUY,2176,121.58,2026-04-24,PENDING
44,TRD-000044,10,5,FIXED_INCOME,SELL,1866889,106.5284,2026-05-22,SETTLED
45,TRD-000045,33,8,FIXED_INCOME,SELL,526132,87.769,2026-07-27,SETTLED
46,TRD-000046,3,1,EQUITY,SELL,1081,580.66,2026-06-06,CONFIRMED
47,TRD-000047,36,7,FIXED_INCOME,BUY,1038466,87.2573,2026-05-18,SETTLED
48,TRD-000048,24,10,EQUITY,BUY,3530,132.15,2026-06-12,SETTLED
49,TRD-000049,23,4,EQUITY,BUY,852,331.24,2026-07-20,SETTLED
50,TRD-000050,16,3,EQUITY,BUY,3387,41.81,2026-06-26,CONFIRMED
51,TRD-000051,43,4,FX,SELL,343862,118.2763,2026-04-13,SETTLED
52,TRD-000052,31,4,FIXED_INCOME,BUY,3961303,95.4898,2026-05-08,SETTLED
53,TRD-000053,43,4,FX,SELL,698415,42.3676,2026-04-25,SETTLED
54,TRD-000054,23,9,EQUITY,SELL,4402,311.41,2026-04-04,SETTLED
55,TRD-000055,12,10,FIXED_INCOME,SELL,420924,88.2521,2026-07-12,CONFIRMED
56,TRD-000056,28,10,EQUITY,BUY,3165,811.56,2026-05-09,SETTLED
57,TRD-000057,46,7,DERIVATIVE,BUY,134,4631.6,2026-05-12,CONFIRMED
58,TRD-000058,5,6,EQUITY,SELL,1030,653.38,2026-06-17,SETTLED
59,TRD-000059,43,7,FX,SELL,853894,104.8235,2026-05-07,CONFIRMED
60,TRD-000060,43,7,FX,BUY,1300828,85.7105,2026-07-18,SETTLED
61,TRD-000061,20,5,EQUITY,BUY,3531,711.47,2026-06-15,CONFIRMED
62,TRD-000062,29,4,EQUITY,SELL,1400,599.79,2026-06-17,PENDING
63,TRD-000063,22,2,EQUITY,BUY,2552,217.68,2026-05-05,SETTLED
64,TRD-000064,3,4,EQUITY,SELL,606,420.77,2026-05-23,CONFIRMED
65,TRD-000065,32,7,FIXED_INCOME,BUY,1337918,104.6817,2026-04-25,SETTLED
66,TRD-000066,50,7,DERIVATIVE,BUY,46,4030.34,2026-07-02,PENDING
67,TRD-000067,16,2,EQUITY,SELL,1102,725.25,2026-06-25,CONFIRMED
68,TRD-000068,40,9,FX,SELL,1751829,136.1027,2026-07-06,CONFIRMED
69,TRD-000069,29,5,EQUITY,BUY,2281,693.92,2026-07-21,SETTLED
70,TRD-000070,18,8,EQUITY,BUY,2350,226.35,2026-06-11,PENDING
71,TRD-000071,6,3,EQUITY,BUY,1904,357.07,2026-05-23,SETTLED
72,TRD-000072,5,7,EQUITY,SELL,2720,497.5,2026-07-02,SETTLED
73,TRD-000073,27,7,EQUITY,BUY,4726,354.74,2026-04-12,SETTLED
74,TRD-000074,49,7,DERIVATIVE,SELL,138,3750.2,2026-05-16,SETTLED
75,TRD-000075,18,7,EQUITY,SELL,247,362.19,2026-07-24,SETTLED
76,TRD-000076,30,3,EQUITY,BUY,3237,540.87,2026-04-03,CONFIRMED
77,TRD-000077,9,8,EQUITY,BUY,421,248.94,2026-06-07,CONFIRMED
78,TRD-000078,21,6,EQUITY,SELL,2289,681.77,2026-07-09,SETTLED
79,TRD-000079,31,1,FIXED_INCOME,BUY,3035680,91.7267,2026-04-25,SETTLED
80,TRD-000080,49,1,DERIVATIVE,BUY,52,4204.18,2026-05-08,SETTLED
81,TRD-000081,31,2,FIXED_INCOME,BUY,4000987,105.9839,2026-06-06,PENDING
82,TRD-000082,39,2,FIXED_INCOME,BUY,2709183,88.243,2026-04-10,PENDING
83,TRD-000083,44,7,FX,SELL,1984406,107.4802,2026-04-19,SETTLED
84,TRD-000084,7,5,EQUITY,BUY,4646,708.72,2026-06-18,CONFIRMED
85,TRD-000085,43,6,FX,BUY,1071076,97.4135,2026-04-28,CONFIRMED
86,TRD-000086,32,2,FIXED_INCOME,SELL,3138253,104.0676,2026-07-23,SETTLED
87,TRD-000087,28,3,EQUITY,SELL,4418,701.68,2026-07-14,PENDING
88,TRD-000088,18,6,EQUITY,BUY,719,265.46,2026-07-08,CONFIRMED
89,TRD-000089,37,10,FIXED_INCOME,SELL,2921899,85.861,2026-06-06,CONFIRMED
90,TRD-000090,14,6,FX,SELL,723742,42.525,2026-06-18,SETTLED
91,TRD-000091,34,4,FIXED_INCOME,BUY,2124641,106.6022,2026-07-18,SETTLED
92,TRD-000092,45,8,FX,SELL,949890,119.1056,2026-04-10,SETTLED
93,TRD-000093,26,4,EQUITY,SELL,4774,344.74,2026-06-14,PENDING
94,TRD-000094,22,6,EQUITY,SELL,2229,289.83,2026-05-04,SETTLED
95,TRD-000095,21,2,EQUITY,BUY,1579,210.42,2026-07-09,PENDING
96,TRD-000096,49,9,DERIVATIVE,SELL,26,4171.51,2026-06-08,CONFIRMED
97,TRD-000097,12,5,FIXED_INCOME,BUY,4580649,88.7975,2026-04-02,PENDING
98,TRD-000098,19,3,EQUITY,SELL,850,787.99,2026-06-16,CONFIRMED
99,TRD-000099,29,6,EQUITY,BUY,430,242.18,2026-07-04,SETTLED
100,TRD-000100,26,8,EQUITY,BUY,4736,573.91,2026-04-05,SETTLED
101,TRD-000101,37,5,FIXED_INCOME,BUY,2181976,88.5535,2026-07-20,PENDING
102,TRD-000102,40,4,FX,SELL,954797,136.3489,2026-06-28,PENDING
103,TRD-000103,28,5,EQUITY,BUY,822,853.88,2026-05-21,SETTLED
104,TRD-000104,17,2,EQUITY,BUY,1974,172.96,2026-04-06,SETTLED
105,TRD-000105,27,8,EQUITY,SELL,2395,48.72,2026-06-23,SETTLED
106,TRD-000106,45,8,FX,BUY,1451550,35.6268,2026-06-26,PENDING
107,TRD-000107,43,4,FX,SELL,250703,82.0487,2026-05-09,SETTLED
108,TRD-000108,5,1,EQUITY,BUY,2529,543.64,2026-06-15,SETTLED
109,TRD-000109,30,5,EQUITY,SELL,2240,460.42,2026-07-15,SETTLED
110,TRD-000110,39,1,FIXED_INCOME,SELL,2803829,103.1114,2026-04-03,SETTLED
111,TRD-000111,44,10,FX,BUY,1613818,101.1044,2026-06-19,SETTLED
112,TRD-000112,49,3,DERIVATIVE,SELL,133,3274.97,2026-06-06,PENDING
113,TRD-000113,28,8,EQUITY,BUY,3860,326.21,2026-06-11,SETTLED
114,TRD-000114,11,6,FIXED_INCOME,SELL,4256295,93.6465,2026-07-27,PENDING
115,TRD-000115,3,8,EQUITY,BUY,2586,242.11,2026-04-25,CONFIRMED
116,TRD-000116,33,1,FIXED_INCOME,SELL,3566571,86.6261,2026-06-20,CONFIRMED
117,TRD-000117,41,8,FX,BUY,436892,40.6448,2026-05-10,CONFIRMED
118,TRD-000118,45,8,FX,BUY,70543,145.9935,2026-05-23,SETTLED
119,TRD-000119,20,9,EQUITY,BUY,4534,379.03,2026-05-27,SETTLED
120,TRD-000120,30,2,EQUITY,BUY,4092,840.73,2026-06-17,SETTLED
121,TRD-000121,27,8,EQUITY,SELL,2006,421.97,2026-05-13,SETTLED
122,TRD-000122,39,9,FIXED_INCOME,BUY,685609,93.2874,2026-07-11,PENDING
123,TRD-000123,18,1,EQUITY,SELL,2455,756.98,2026-07-28,SETTLED
124,TRD-000124,29,9,EQUITY,SELL,2837,312.55,2026-07-15,CONFIRMED
125,TRD-000125,13,4,FX,SELL,499815,128.5171,2026-07-02,CONFIRMED
126,TRD-000126,48,8,DERIVATIVE,SELL,99,4942.65,2026-05-16,SETTLED
127,TRD-000127,9,9,EQUITY,SELL,832,789.29,2026-07-04,PENDING
128,TRD-000128,30,1,EQUITY,BUY,3368,786.42,2026-05-03,CONFIRMED
129,TRD-000129,17,6,EQUITY,SELL,667,769.55,2026-07-11,CONFIRMED
130,TRD-000130,35,1,FIXED_INCOME,BUY,2069395,103.9348,2026-06-08,SETTLED
131,TRD-000131,28,2,EQUITY,BUY,3644,166.4,2026-06-01,SETTLED
132,TRD-000132,21,1,EQUITY,SELL,2946,349.86,2026-05-08,PENDING
133,TRD-000133,27,10,EQUITY,BUY,1402,174.06,2026-07-20,SETTLED
134,TRD-000134,32,10,FIXED_INCOME,BUY,2047737,98.8345,2026-06-15,SETTLED
135,TRD-000135,43,1,FX,SELL,1899973,43.7146,2026-05-03,CONFIRMED
136,TRD-000136,23,10,EQUITY,SELL,3485,627.48,2026-07-28,SETTLED
137,TRD-000137,13,7,FX,SELL,233668,36.1911,2026-06-19,SETTLED
138,TRD-000138,45,5,FX,BUY,1750714,99.0079,2026-06-01,PENDING
139,TRD-000139,44,1,FX,SELL,1756589,135.7,2026-06-25,SETTLED
140,TRD-000140,39,6,FIXED_INCOME,BUY,1694942,103.6267,2026-05-21,SETTLED
141,TRD-000141,41,1,FX,SELL,1663836,66.5708,2026-06-24,SETTLED
142,TRD-000142,6,5,EQUITY,SELL,3413,174.56,2026-05-26,PENDING
143,TRD-000143,24,9,EQUITY,SELL,1357,246.13,2026-07-26,SETTLED
144,TRD-000144,48,6,DERIVATIVE,BUY,120,4816.32,2026-05-25,SETTLED
145,TRD-000145,44,7,FX,SELL,199378,118.7697,2026-04-09,PENDING
146,TRD-000146,8,8,EQUITY,SELL,2157,534.41,2026-06-04,SETTLED
147,TRD-000147,31,1,FIXED_INCOME,SELL,1956962,104.4296,2026-07-23,SETTLED
148,TRD-000148,42,7,FX,BUY,303133,7.5657,2026-04-10,CONFIRMED
149,TRD-000149,8,2,EQUITY,BUY,4413,139.38,2026-07-12,PENDING
150,TRD-000150,27,10,EQUITY,BUY,3408,596.33,2026-07-20,CONFIRMED
151,TRD-000151,18,1,EQUITY,SELL,1789,410.18,2026-05-28,CONFIRMED
152,TRD-000152,7,6,EQUITY,SELL,506,370.36,2026-05-04,CONFIRMED
153,TRD-000153,6,4,EQUITY,BUY,424,712.38,2026-05-05,PENDING
154,TRD-000154,14,2,FX,BUY,1239734,33.0199,2026-05-11,SETTLED
155,TRD-000155,39,1,FIXED_INCOME,SELL,1313730,114.6258,2026-06-26,SETTLED
156,TRD-000156,8,1,EQUITY,BUY,131,335.25,2026-05-19,CONFIRMED
157,TRD-000157,2,3,EQUITY,SELL,439,131.55,2026-07-17,SETTLED
158,TRD-000158,48,2,DERIVATIVE,SELL,115,3901.18,2026-04-15,PENDING
159,TRD-000159,15,10,FX,BUY,1535139,117.6575,2026-06-15,SETTLED
160,TRD-000160,4,8,EQUITY,SELL,3502,623.77,2026-07-23,CONFIRMED
161,TRD-000161,5,2,EQUITY,SELL,4993,150.53,2026-05-09,PENDING
162,TRD-000162,41,10,FX,SELL,808814,149.1985,2026-06-15,PENDING
163,TRD-000163,39,7,FIXED_INCOME,BUY,1059774,110.5838,2026-05-14,CONFIRMED
164,TRD-000164,15,7,FX,SELL,1745223,68.462,2026-07-24,SETTLED
165,TRD-000165,21,7,EQUITY,SELL,2098,349.38,2026-05-22,CONFIRMED
166,TRD-000166,5,2,EQUITY,BUY,773,400.05,2026-06-26,SETTLED
167,TRD-000167,36,1,FIXED_INCOME,SELL,1125350,97.3243,2026-07-28,SETTLED
168,TRD-000168,19,10,EQUITY,SELL,2890,111.17,2026-05-05,CONFIRMED
169,TRD-000169,15,2,FX,SELL,1782876,83.7948,2026-04-25,SETTLED
170,TRD-000170,37,4,FIXED_INCOME,SELL,4805721,114.2364,2026-04-20,SETTLED
171,TRD-000171,2,3,EQUITY,SELL,2541,830.95,2026-06-01,SETTLED
172,TRD-000172,10,10,FIXED_INCOME,SELL,683724,89.2562,2026-04-03,PENDING
173,TRD-000173,14,7,FX,SELL,961364,51.6617,2026-06-10,CONFIRMED
174,TRD-000174,50,10,DERIVATIVE,BUY,14,820.12,2026-04-22,SETTLED
175,TRD-000175,18,8,EQUITY,SELL,3988,554.23,2026-07-09,SETTLED
176,TRD-000176,49,9,DERIVATIVE,BUY,89,2178.07,2026-06-22,PENDING
177,TRD-000177,32,9,FIXED_INCOME,SELL,480988,91.6156,2026-04-01,SETTLED
178,TRD-000178,20,4,EQUITY,BUY,2103,274.71,2026-04-01,CONFIRMED
179,TRD-000179,48,7,DERIVATIVE,BUY,34,1932.03,2026-05-17,PENDING
180,TRD-000180,43,6,FX,BUY,842718,129.3752,2026-04-14,SETTLED
181,TRD-000181,30,2,EQUITY,SELL,4726,397.77,2026-07-23,CONFIRMED
182,TRD-000182,19,2,EQUITY,SELL,180,870.26,2026-05-26,PENDING
183,TRD-000183,30,6,EQUITY,BUY,3587,763.15,2026-05-14,PENDING
184,TRD-000184,26,9,EQUITY,BUY,3252,786.06,2026-06-08,CONFIRMED
185,TRD-000185,50,3,DERIVATIVE,BUY,131,3184.46,2026-05-25,CONFIRMED
186,TRD-000186,23,3,EQUITY,BUY,852,148.87,2026-05-06,PENDING
187,TRD-000187,10,2,FIXED_INCOME,BUY,4244954,98.9186,2026-07-22,PENDING
188,TRD-000188,42,10,FX,SELL,1822457,145.6692,2026-06-05,CONFIRMED
189,TRD-000189,5,8,EQUITY,SELL,2490,720.77,2026-04-12,PENDING
190,TRD-000190,5,5,EQUITY,SELL,3712,53.09,2026-06-27,SETTLED
191,TRD-000191,5,2,EQUITY,SELL,3800,530.69,2026-04-15,PENDING
192,TRD-000192,42,4,FX,SELL,1278789,71.7639,2026-05-02,CONFIRMED
193,TRD-000193,7,6,EQUITY,BUY,4143,588.59,2026-04-08,CONFIRMED
194,TRD-000194,29,9,EQUITY,BUY,2991,348.11,2026-06-13,CONFIRMED
195,TRD-000195,50,6,DERIVATIVE,BUY,162,3254.16,2026-04-11,SETTLED
196,TRD-000196,36,7,FIXED_INCOME,SELL,2213893,106.712,2026-05-11,SETTLED
197,TRD-000197,38,3,FIXED_INCOME,SELL,2702412,114.0309,2026-07-05,PENDING
198,TRD-000198,46,2,DERIVATIVE,SELL,144,1914.56,2026-06-27,SETTLED
199,TRD-000199,43,9,FX,BUY,1364812,100.832,2026-06-01,CONFIRMED
200,TRD-000200,20,3,EQUITY,BUY,2809,853.95,2026-07-07,SETTLED
201,TRD-000201,9,3,EQUITY,BUY,2433,763.1,2026-04-17,PENDING
202,TRD-000202,48,9,DERIVATIVE,BUY,170,1716.98,2026-05-20,CONFIRMED
203,TRD-000203,10,3,FIXED_INCOME,BUY,1488643,106.6355,2026-04-14,CONFIRMED
204,TRD-000204,44,4,FX,SELL,1290511,43.3112,2026-07-08,PENDING
205,TRD-000205,16,5,EQUITY,SELL,1599,343.7,2026-07-15,SETTLED
206,TRD-000206,50,7,DERIVATIVE,SELL,42,4093.61,2026-05-28,SETTLED
207,TRD-000207,4,8,EQUITY,SELL,4552,842.18,2026-04-10,SETTLED
208,TRD-000208,49,3,DERIVATIVE,SELL,116,4531.27,2026-05-27,CONFIRMED
209,TRD-000209,6,4,EQUITY,SELL,2873,838.82,2026-07-02,CONFIRMED
210,TRD-000210,33,6,FIXED_INCOME,BUY,3339396,114.8358,2026-06-08,SETTLED
211,TRD-000211,21,2,EQUITY,SELL,1206,141.09,2026-06-27,CONFIRMED
212,TRD-000212,45,3,FX,SELL,950785,92.61,2026-04-01,SETTLED
213,TRD-000213,14,3,FX,SELL,243175,116.605,2026-05-10,SETTLED
214,TRD-000214,4,4,EQUITY,SELL,3754,75.27,2026-07-20,PENDING
215,TRD-000215,2,9,EQUITY,BUY,1186,276.32,2026-04-20,CONFIRMED
216,TRD-000216,16,10,EQUITY,SELL,1544,604.65,2026-04-17,CONFIRMED
217,TRD-000217,5,9,EQUITY,BUY,3208,788.53,2026-04-21,CONFIRMED
218,TRD-000218,24,5,EQUITY,BUY,2935,713.9,2026-06-08,SETTLED
219,TRD-000219,50,10,DERIVATIVE,SELL,35,269.46,2026-06-27,SETTLED
220,TRD-000220,50,8,DERIVATIVE,SELL,162,952.28,2026-05-03,CONFIRMED
221,TRD-000221,3,5,EQUITY,BUY,368,716.18,2026-04-11,SETTLED
222,TRD-000222,33,7,FIXED_INCOME,SELL,2224949,86.0986,2026-05-10,CONFIRMED
223,TRD-000223,50,1,DERIVATIVE,SELL,70,666.15,2026-06-14,CONFIRMED
224,TRD-000224,48,8,DERIVATIVE,SELL,87,4869.93,2026-07-23,CONFIRMED
225,TRD-000225,24,9,EQUITY,SELL,686,659.83,2026-04-14,PENDING
226,TRD-000226,12,9,FIXED_INCOME,SELL,2794516,88.0779,2026-06-22,SETTLED
227,TRD-000227,20,8,EQUITY,SELL,1375,626.99,2026-06-15,SETTLED
228,TRD-000228,47,6,DERIVATIVE,SELL,71,3215.37,2026-04-03,CONFIRMED
229,TRD-000229,24,9,EQUITY,BUY,265,145.65,2026-07-02,SETTLED
230,TRD-000230,5,4,EQUITY,SELL,2976,356.91,2026-04-20,SETTLED
231,TRD-000231,44,8,FX,SELL,790168,67.0357,2026-04-19,SETTLED
232,TRD-000232,34,6,FIXED_INCOME,SELL,2737256,104.4868,2026-05-04,SETTLED
233,TRD-000233,48,3,DERIVATIVE,SELL,133,1965.59,2026-04-09,SETTLED
234,TRD-000234,46,8,DERIVATIVE,BUY,157,1463.61,2026-07-07,SETTLED
235,TRD-000235,9,2,EQUITY,SELL,1424,810.84,2026-07-03,CONFIRMED
236,TRD-000236,43,6,FX,BUY,1163427,81.692,2026-06-28,SETTLED
237,TRD-000237,46,3,DERIVATIVE,SELL,131,1160.0,2026-05-26,SETTLED
238,TRD-000238,16,8,EQUITY,BUY,2966,507.54,2026-06-15,PENDING
239,TRD-000239,9,10,EQUITY,BUY,548,292.18,2026-07-17,CONFIRMED
240,TRD-000240,50,7,DERIVATIVE,BUY,33,4863.28,2026-04-15,CONFIRMED
241,TRD-000241,44,9,FX,SELL,279137,131.7917,2026-05-25,SETTLED
242,TRD-000242,28,9,EQUITY,BUY,1027,475.93,2026-06-06,SETTLED
243,TRD-000243,21,4,EQUITY,SELL,4260,807.53,2026-04-09,SETTLED
244,TRD-000244,41,9,FX,SELL,272501,94.0533,2026-04-17,SETTLED
245,TRD-000245,38,10,FIXED_INCOME,BUY,1536134,104.762,2026-06-27,PENDING
246,TRD-000246,3,1,EQUITY,BUY,382,854.72,2026-06-21,SETTLED
247,TRD-000247,50,10,DERIVATIVE,SELL,159,3213.01,2026-07-21,PENDING
248,TRD-000248,19,5,EQUITY,SELL,2016,728.13,2026-07-10,CONFIRMED
249,TRD-000249,5,1,EQUITY,BUY,3611,385.75,2026-07-07,CONFIRMED
250,TRD-000250,39,3,FIXED_INCOME,SELL,2778620,107.026,2026-06-13,SETTLED
251,TRD-000251,49,6,DERIVATIVE,BUY,82,1246.6,2026-04-09,CONFIRMED
252,TRD-000252,16,3,EQUITY,BUY,424,275.39,2026-07-28,PENDING
253,TRD-000253,27,4,EQUITY,BUY,2692,841.7,2026-06-07,SETTLED
254,TRD-000254,32,9,FIXED_INCOME,SELL,4283899,111.3723,2026-07-01,SETTLED
255,TRD-000255,26,9,EQUITY,SELL,1982,209.33,2026-06-02,SETTLED
256,TRD-000256,19,8,EQUITY,SELL,2350,492.29,2026-04-14,SETTLED
257,TRD-000257,17,6,EQUITY,SELL,3007,59.81,2026-04-19,PENDING
258,TRD-000258,13,6,FX,SELL,164207,58.4432,2026-07-25,PENDING
259,TRD-000259,18,10,EQUITY,BUY,1064,878.07,2026-07-12,CONFIRMED
260,TRD-000260,36,6,FIXED_INCOME,BUY,1769818,103.0739,2026-07-17,SETTLED
261,TRD-000261,3,1,EQUITY,BUY,2738,727.49,2026-07-05,PENDING
262,TRD-000262,33,3,FIXED_INCOME,SELL,2772023,89.8751,2026-06-19,CONFIRMED
263,TRD-000263,33,9,FIXED_INCOME,SELL,4822150,93.9937,2026-04-12,CONFIRMED
264,TRD-000264,44,2,FX,SELL,1234112,46.7055,2026-04-20,CONFIRMED
265,TRD-000265,17,10,EQUITY,BUY,430,533.5,2026-05-17,PENDING
266,TRD-000266,50,7,DERIVATIVE,BUY,175,1248.87,2026-04-07,SETTLED
267,TRD-000267,29,6,EQUITY,SELL,1250,383.4,2026-05-14,PENDING
268,TRD-000268,50,10,DERIVATIVE,SELL,189,3650.64,2026-05-17,SETTLED
269,TRD-000269,36,6,FIXED_INCOME,SELL,4508021,96.3047,2026-05-15,PENDING
270,TRD-000270,22,9,EQUITY,SELL,2175,556.87,2026-05-08,SETTLED
271,TRD-000271,36,5,FIXED_INCOME,BUY,2596571,108.1352,2026-05-23,CONFIRMED
272,TRD-000272,21,8,EQUITY,SELL,4601,841.66,2026-06-10,SETTLED
273,TRD-000273,37,9,FIXED_INCOME,SELL,3409578,109.5513,2026-05-10,SETTLED
274,TRD-000274,19,2,EQUITY,SELL,3633,597.26,2026-07-07,SETTLED
275,TRD-000275,35,5,FIXED_INCOME,SELL,1251529,88.2768,2026-05-08,SETTLED
276,TRD-000276,43,9,FX,BUY,1347866,35.5392,2026-04-14,CONFIRMED
277,TRD-000277,46,8,DERIVATIVE,BUY,175,3865.29,2026-04-18,SETTLED
278,TRD-000278,27,8,EQUITY,SELL,1643,685.2,2026-06-11,SETTLED
279,TRD-000279,42,1,FX,BUY,1377969,86.4607,2026-04-06,CONFIRMED
280,TRD-000280,12,1,FIXED_INCOME,SELL,4255581,90.5893,2026-06-02,SETTLED
281,TRD-000281,20,10,EQUITY,BUY,2754,270.41,2026-07-05,PENDING
282,TRD-000282,30,5,EQUITY,BUY,932,311.0,2026-07-21,SETTLED
283,TRD-000283,46,3,DERIVATIVE,BUY,189,1718.71,2026-06-19,SETTLED
284,TRD-000284,12,10,FIXED_INCOME,SELL,3687834,100.4584,2026-04-13,SETTLED
285,TRD-000285,12,3,FIXED_INCOME,SELL,2814567,113.0748,2026-04-09,CONFIRMED
286,TRD-000286,16,8,EQUITY,SELL,2710,285.71,2026-04-09,CONFIRMED
287,TRD-000287,45,4,FX,BUY,1410448,18.4391,2026-06-06,CONFIRMED
288,TRD-000288,44,9,FX,SELL,1457643,18.3184,2026-06-12,PENDING
289,TRD-000289,15,4,FX,BUY,1012820,23.6553,2026-06-14,PENDING
290,TRD-000290,31,9,FIXED_INCOME,BUY,2175890,105.4103,2026-04-17,CONFIRMED
291,TRD-000291,34,6,FIXED_INCOME,BUY,4832590,88.3663,2026-05-19,PENDING
292,TRD-000292,10,3,FIXED_INCOME,SELL,4464941,98.2552,2026-05-23,PENDING
293,TRD-000293,32,2,FIXED_INCOME,SELL,566706,98.603,2026-07-15,PENDING
294,TRD-000294,4,9,EQUITY,SELL,2534,656.49,2026-07-09,SETTLED
295,TRD-000295,48,4,DERIVATIVE,BUY,12,2147.3,2026-04-18,SETTLED
296,TRD-000296,5,8,EQUITY,BUY,2361,379.8,2026-05-25,CONFIRMED
297,TRD-000297,24,7,EQUITY,SELL,3102,350.57,2026-05-21,CONFIRMED
298,TRD-000298,8,3,EQUITY,SELL,4342,132.07,2026-05-27,SETTLED
299,TRD-000299,49,1,DERIVATIVE,SELL,119,3383.82,2026-07-18,CONFIRMED
300,TRD-000300,15,4,FX,SELL,735949,23.9441,2026-05-24,SETTLED
301,TRD-000301,3,7,EQUITY,BUY,1981,201.35,2026-04-20,SETTLED
302,TRD-000302,29,10,EQUITY,BUY,2014,671.68,2026-07-15,SETTLED
303,TRD-000303,35,4,FIXED_INCOME,BUY,1275542,100.1169,2026-06-08,PENDING
304,TRD-000304,21,10,EQUITY,SELL,1950,285.55,2026-05-22,PENDING
305,TRD-000305,15,7,FX,SELL,587039,9.8949,2026-05-21,CONFIRMED
306,TRD-000306,36,8,FIXED_INCOME,BUY,2989160,113.2476,2026-07-26,PENDING
307,TRD-000307,21,7,EQUITY,SELL,1232,283.9,2026-05-25,PENDING
308,TRD-000308,31,4,FIXED_INCOME,BUY,2622759,110.7262,2026-05-26,CONFIRMED
309,TRD-000309,4,9,EQUITY,SELL,3422,510.41,2026-05-13,SETTLED
310,TRD-000310,17,4,EQUITY,SELL,657,831.56,2026-06-03,PENDING
311,TRD-000311,47,4,DERIVATIVE,BUY,69,1916.98,2026-04-28,SETTLED
312,TRD-000312,13,10,FX,BUY,1015362,31.9663,2026-06-10,SETTLED
